"ID_CIDERH","TEMP_MEDIA_RBE","Anio","Mes","Dia"
"M_022_A_II",2.258912658691429,1985,4,23
"M_022_A_II",0.7056976318359602,1985,4,24
"M_022_A_II",-1.6760772705077898,1985,4,25
"M_022_A_II",-3.4671386718749773,1985,4,26
"M_022_A_II",-4.15624084472654,1985,4,27
"M_022_A_II",-3.4475311279296648,1985,4,28
"M_022_A_II",-4.301725769042946,1985,4,29
"M_022_A_II",-4.19554748535154,1985,4,30
"M_022_A_II",-4.6670364379882585,1985,5,1
"M_022_A_II",-4.065946960449196,1985,5,2
"M_022_A_II",-3.400297546386696,1985,5,3
"M_022_A_II",-1.5158142089843525,1985,5,4
"M_022_A_II",-1.5300048828124773,1985,5,5
"M_022_A_II",-2.4947723388671643,1985,5,6
"M_022_A_II",-2.0409759521484148,1985,5,7
"M_022_A_II",-3.550398254394508,1985,5,8
"M_022_A_II",-3.8768829345702898,1985,5,9
"M_022_A_II",-5.602507019042946,1985,5,10
"M_022_A_II",-5.737318420410133,1985,5,11
"M_022_A_II",-7.327337646484352,1985,5,12
"M_022_A_II",-5.201872253417946,1985,5,13
"M_022_A_II",-3.3030990600585706,1985,5,14
"M_022_A_II",-4.109411621093727,1985,5,15
"M_022_A_II",-4.4503921508788835,1985,5,16
"M_022_A_II",-3.8568557739257585,1985,5,17
"M_022_A_II",-5.4925674438476335,1985,5,18
"M_022_A_II",-5.1039566040038835,1985,5,19
"M_022_A_II",-6.762625122070289,1985,5,20
"M_022_A_II",-6.155119323730446,1985,5,21
"M_022_A_II",-4.552679443359352,1985,5,22
"M_022_A_II",-5.4334548950195085,1985,5,23
"M_022_A_II",-1.8381484985351335,1985,5,24
"M_022_A_II",-3.1503433227538835,1985,5,25
"M_022_A_II",-2.285993957519508,1985,5,26
"M_022_A_II",-1.2101043701171648,1985,5,27
"M_022_A_II",-1.7593826293945085,1985,5,28
"M_022_A_II",-0.5694030761718522,1985,5,29
"M_022_A_II",-1.8820098876952895,1985,5,30
"M_022_A_II",-3.036833190917946,1985,5,31
"M_022_A_II",-4.002844238281227,1985,6,1
"M_022_A_II",-5.025213623046852,1985,6,2
"M_022_A_II",-5.29790344238279,1985,6,3
"M_022_A_II",-3.1320022583007585,1985,6,4
"M_022_A_II",-3.2298187255859148,1985,6,5
"M_022_A_II",-2.679060363769508,1985,6,6
"M_022_A_II",-2.130339050292946,1985,6,7
"M_022_A_II",-3.3386138916015398,1985,6,8
"M_022_A_II",-4.573751831054665,1985,6,9
"M_022_A_II",-4.371359252929665,1985,6,10
"M_022_A_II",-5.1391128540038835,1985,6,11
"M_022_A_II",-5.972784423828102,1985,6,12
"M_022_A_II",-7.22453918457029,1985,6,13
"M_022_A_II",-7.0275711059570085,1985,6,14
"M_022_A_II",-5.987005615234352,1985,6,15
"M_022_A_II",-5.8998855590820085,1985,6,16
"M_022_A_II",-5.182623291015602,1985,6,17
"M_022_A_II",-4.6202835083007585,1985,6,18
"M_022_A_II",-5.123747253417946,1985,6,19
"M_022_A_II",-7.343710327148415,1985,6,20
"M_022_A_II",-6.5779556274413835,1985,6,21
"M_022_A_II",-5.528196716308571,1985,6,22
"M_022_A_II",-5.041296386718727,1985,6,23
"M_022_A_II",-5.38841857910154,1985,6,24
"M_022_A_II",-5.636984252929665,1985,6,25
"M_022_A_II",-4.93877258300779,1985,6,26
"M_022_A_II",-4.9059890747070085,1985,6,27
"M_022_A_II",-7.06163635253904,1985,6,28
"M_022_A_II",-8.263143920898415,1985,6,29
"M_022_A_II",-10.183027648925759,1985,6,30
"M_022_A_II",-8.65801086425779,1985,7,1
"M_022_A_II",-6.097692871093727,1985,7,2
"M_022_A_II",-3.6485961914062273,1985,7,3
"M_022_A_II",-7.618017578124977,1985,7,4
"M_022_A_II",-7.8227981567382585,1985,7,5
"M_022_A_II",-4.512060546874977,1985,7,6
"M_022_A_II",-6.149748229980446,1985,7,7
"M_022_A_II",-8.730558776855446,1985,7,8
"M_022_A_II",-8.094885253906227,1985,7,9
"M_022_A_II",-4.25481262207029,1985,7,10
"M_022_A_II",-4.743811035156227,1985,7,11
"M_022_A_II",-4.240995788574196,1985,7,12
"M_022_A_II",-3.2109207153320085,1985,7,13
"M_022_A_II",-3.3226455688476335,1985,7,14
"M_022_A_II",-2.292631530761696,1985,7,15
"M_022_A_II",-2.7979949951171648,1985,7,16
"M_022_A_II",-4.6436599731445085,1985,7,17
"M_022_A_II",-7.516355895996071,1985,7,18
"M_022_A_II",-6.1278823852538835,1985,7,19
"M_022_A_II",-5.505499267578102,1985,7,20
"M_022_A_II",-3.4368804931640398,1985,7,21
"M_022_A_II",-4.452734374999977,1985,7,22
"M_022_A_II",-5.540197753906227,1985,7,23
"M_022_A_II",-5.386198425292946,1985,7,24
"M_022_A_II",-6.87151184082029,1985,7,25
"M_022_A_II",-7.636846923828102,1985,7,26
"M_022_A_II",-7.534872436523415,1985,7,27
"M_022_A_II",-6.9152053833007585,1985,7,28
"M_022_A_II",-5.664953613281226,1985,7,29
"M_022_A_II",-6.399557495117165,1985,7,30
"M_022_A_II",-7.676901245117165,1985,7,31
"M_022_A_II",-9.973760986328102,1985,8,1
"M_022_A_II",-7.6301101684570085,1985,8,2
"M_022_A_II",-3.5378402709960706,1985,8,3
"M_022_A_II",-3.0965484619140398,1985,8,4
"M_022_A_II",-3.679289245605446,1985,8,5
"M_022_A_II",-5.02251281738279,1985,8,6
"M_022_A_II",-6.138677978515602,1985,8,7
"M_022_A_II",-5.829618835449196,1985,8,8
"M_022_A_II",-6.4010147094726335,1985,8,9
"M_022_A_II",-5.611341857910133,1985,8,10
"M_022_A_II",-3.4281066894531023,1985,8,11
"M_022_A_II",-2.0641540527343523,1985,8,12
"M_022_A_II",-2.9829162597656023,1985,8,13
"M_022_A_II",-3.554075622558571,1985,8,14
"M_022_A_II",-3.685087585449196,1985,8,15
"M_022_A_II",-3.461775207519508,1985,8,16
"M_022_A_II",-2.665068054199196,1985,8,17
"M_022_A_II",-5.108671569824196,1985,8,18
"M_022_A_II",-6.8728775024413835,1985,8,19
"M_022_A_II",-5.541746520996071,1985,8,20
"M_022_A_II",-5.414465332031227,1985,8,21
"M_022_A_II",-5.019895935058571,1985,8,22
"M_022_A_II",-4.398352050781227,1985,8,23
"M_022_A_II",-2.9131988525390398,1985,8,24
"M_022_A_II",-2.6325820922851335,1985,8,25
"M_022_A_II",-4.5618423461913835,1985,8,26
"M_022_A_II",-4.37541809082029,1985,8,27
"M_022_A_II",-2.2429718017577893,1985,8,28
"M_022_A_II",-2.696874999999977,1985,8,29
"M_022_A_II",-0.4860671997070083,1985,8,30
"M_022_A_II",-1.5398773193359148,1985,8,31
"M_022_A_II",-1.4949859619140398,1985,9,1
"M_022_A_II",-1.7613586425781023,1985,9,2
"M_022_A_II",-4.3530410766601335,1985,9,3
"M_022_A_II",-3.9457000732421648,1985,9,4
"M_022_A_II",-2.692839050292946,1985,9,5
"M_022_A_II",-2.2769073486327898,1985,9,6
"M_022_A_II",-1.0788482666015395,1985,9,7
"M_022_A_II",-1.6995681762695083,1985,9,8
"M_022_A_II",-2.5679229736327893,1985,9,9
"M_022_A_II",-2.701994323730446,1985,9,10
"M_022_A_II",-3.4679855346679456,1985,9,11
"M_022_A_II",-4.117269897460915,1985,9,12
"M_022_A_II",-1.6912368774413835,1985,9,13
