"ID_CIDERH","REGION","FECHA_RBE","TEMP_MAX_RBE","LAT_Y","LON_X"
"M_001_AH","I","2006-04-09",15.32,-20.678125,-68.707308
"M_001_AH","I","2006-04-10",14.15,-20.678125,-68.707308
"M_001_AH","I","2006-04-11",16.91,-20.678125,-68.707308
"M_001_AH","I","2006-04-12",16.28,-20.678125,-68.707308
"M_001_AH","I","2006-04-13",14.1,-20.678125,-68.707308
"M_001_AH","I","2006-04-14",14.73,-20.678125,-68.707308
"M_001_AH","I","2006-04-15",14.75,-20.678125,-68.707308
"M_001_AH","I","2006-04-16",16.56,-20.678125,-68.707308
"M_001_AH","I","2006-04-17",18.49,-20.678125,-68.707308
"M_001_AH","I","2006-04-18",14.44,-20.678125,-68.707308
"M_001_AH","I","2006-04-19",17.29,-20.678125,-68.707308
"M_001_AH","I","2006-04-20",19.46,-20.678125,-68.707308
"M_001_AH","I","2006-04-21",19.29,-20.678125,-68.707308
"M_001_AH","I","2006-04-22",19.54,-20.678125,-68.707308
"M_001_AH","I","2006-04-23",18.45,-20.678125,-68.707308
"M_001_AH","I","2006-04-24",17.9,-20.678125,-68.707308
"M_001_AH","I","2006-04-25",18.5,-20.678125,-68.707308
"M_001_AH","I","2006-04-26",17.08,-20.678125,-68.707308
"M_001_AH","I","2006-04-27",17.24,-20.678125,-68.707308
"M_001_AH","I","2006-04-28",16.13,-20.678125,-68.707308
"M_001_AH","I","2006-04-29",16.12,-20.678125,-68.707308
"M_001_AH","I","2006-05-01",15.21,-20.678125,-68.707308
"M_001_AH","I","2006-05-02",10.89,-20.678125,-68.707308
"M_001_AH","I","2006-05-03",13.45,-20.678125,-68.707308
"M_001_AH","I","2006-05-04",11.55,-20.678125,-68.707308
"M_001_AH","I","2006-05-05",10.05,-20.678125,-68.707308
"M_001_AH","I","2006-05-06",10.32,-20.678125,-68.707308
"M_001_AH","I","2006-05-07",11.3,-20.678125,-68.707308
"M_001_AH","I","2006-05-08",10.92,-20.678125,-68.707308
"M_001_AH","I","2006-05-09",11.13,-20.678125,-68.707308
"M_001_AH","I","2006-05-10",11.79,-20.678125,-68.707308
"M_001_AH","I","2006-05-11",13.58,-20.678125,-68.707308
"M_001_AH","I","2006-05-12",14.6,-20.678125,-68.707308
"M_001_AH","I","2006-05-13",14.51,-20.678125,-68.707308
"M_001_AH","I","2006-05-14",14.23,-20.678125,-68.707308
"M_001_AH","I","2006-05-15",16.09,-20.678125,-68.707308
"M_001_AH","I","2006-05-16",14.84,-20.678125,-68.707308
"M_001_AH","I","2006-05-17",13.55,-20.678125,-68.707308
"M_001_AH","I","2006-05-18",13.04,-20.678125,-68.707308
"M_001_AH","I","2006-05-19",9.86,-20.678125,-68.707308
"M_001_AH","I","2006-05-20",10.38,-20.678125,-68.707308
"M_001_AH","I","2006-05-21",8.69,-20.678125,-68.707308
"M_001_AH","I","2006-05-22",8.83,-20.678125,-68.707308
"M_001_AH","I","2006-05-23",11.86,-20.678125,-68.707308
"M_001_AH","I","2006-05-24",14.33,-20.678125,-68.707308
"M_001_AH","I","2006-05-25",15.99,-20.678125,-68.707308
"M_001_AH","I","2006-05-26",16.38,-20.678125,-68.707308
"M_001_AH","I","2006-05-27",16.92,-20.678125,-68.707308
"M_001_AH","I","2006-05-28",15.91,-20.678125,-68.707308
"M_001_AH","I","2006-05-29",14.13,-20.678125,-68.707308
"M_001_AH","I","2006-05-30",11.95,-20.678125,-68.707308
"M_001_AH","I","2006-05-31",12.17,-20.678125,-68.707308
"M_001_AH","I","2006-06-01",10.89,-20.678125,-68.707308
"M_001_AH","I","2006-06-02",10.78,-20.678125,-68.707308
"M_001_AH","I","2006-06-03",6.92,-20.678125,-68.707308
"M_001_AH","I","2006-06-04",10.9,-20.678125,-68.707308
"M_001_AH","I","2006-06-05",10.28,-20.678125,-68.707308
"M_001_AH","I","2006-06-06",11.44,-20.678125,-68.707308
"M_001_AH","I","2006-06-07",11.67,-20.678125,-68.707308
"M_001_AH","I","2006-06-08",8.79,-20.678125,-68.707308
"M_001_AH","I","2006-06-09",8.95,-20.678125,-68.707308
"M_001_AH","I","2006-06-10",8.42,-20.678125,-68.707308
"M_001_AH","I","2006-06-11",11.38,-20.678125,-68.707308
"M_001_AH","I","2006-06-12",12.79,-20.678125,-68.707308
"M_001_AH","I","2006-06-13",13.62,-20.678125,-68.707308
"M_001_AH","I","2006-06-14",13.95,-20.678125,-68.707308
"M_001_AH","I","2006-06-15",14.47,-20.678125,-68.707308
"M_001_AH","I","2006-06-16",14.51,-20.678125,-68.707308
"M_001_AH","I","2006-06-17",15.32,-20.678125,-68.707308
"M_001_AH","I","2006-06-18",15.1,-20.678125,-68.707308
"M_001_AH","I","2006-06-19",11.63,-20.678125,-68.707308
"M_001_AH","I","2006-06-20",11.22,-20.678125,-68.707308
"M_001_AH","I","2006-06-21",11.96,-20.678125,-68.707308
"M_001_AH","I","2006-06-22",12.27,-20.678125,-68.707308
"M_001_AH","I","2006-06-23",11.44,-20.678125,-68.707308
"M_001_AH","I","2006-06-24",9.1,-20.678125,-68.707308
"M_001_AH","I","2006-06-25",12.21,-20.678125,-68.707308
"M_001_AH","I","2006-06-26",14.4,-20.678125,-68.707308
"M_001_AH","I","2006-06-27",12.67,-20.678125,-68.707308
"M_001_AH","I","2006-06-28",10.59,-20.678125,-68.707308
"M_001_AH","I","2006-06-29",11.09,-20.678125,-68.707308
"M_001_AH","I","2006-07-01",16.08,-20.678125,-68.707308
"M_001_AH","I","2006-07-02",13.99,-20.678125,-68.707308
"M_001_AH","I","2006-07-03",15.63,-20.678125,-68.707308
"M_001_AH","I","2006-07-04",15.67,-20.678125,-68.707308
"M_001_AH","I","2006-07-05",14.5,-20.678125,-68.707308
"M_001_AH","I","2006-07-06",13.64,-20.678125,-68.707308
"M_001_AH","I","2006-07-07",11.77,-20.678125,-68.707308
"M_001_AH","I","2006-07-08",9.45,-20.678125,-68.707308
"M_001_AH","I","2006-07-09",11.76,-20.678125,-68.707308
"M_001_AH","I","2006-07-10",11.5,-20.678125,-68.707308
"M_001_AH","I","2006-07-11",10.82,-20.678125,-68.707308
"M_001_AH","I","2006-07-12",14.3,-20.678125,-68.707308
"M_001_AH","I","2006-07-13",14.96,-20.678125,-68.707308
"M_001_AH","I","2006-07-14",14.28,-20.678125,-68.707308
"M_001_AH","I","2006-07-15",13.91,-20.678125,-68.707308
"M_001_AH","I","2006-07-16",12.87,-20.678125,-68.707308
"M_001_AH","I","2006-07-17",14.41,-20.678125,-68.707308
"M_001_AH","I","2006-07-18",15.18,-20.678125,-68.707308
"M_001_AH","I","2006-07-19",15.34,-20.678125,-68.707308
"M_001_AH","I","2006-07-20",15.76,-20.678125,-68.707308
"M_001_AH","I","2006-07-21",13.96,-20.678125,-68.707308
"M_001_AH","I","2006-07-22",9.93,-20.678125,-68.707308
"M_001_AH","I","2006-07-23",9.09,-20.678125,-68.707308
"M_001_AH","I","2006-07-24",8.91,-20.678125,-68.707308
"M_001_AH","I","2006-07-25",8.15,-20.678125,-68.707308
"M_001_AH","I","2006-07-26",6.703,-20.678125,-68.707308
"M_001_AH","I","2006-07-27",8.9,-20.678125,-68.707308
"M_001_AH","I","2006-07-28",8.36,-20.678125,-68.707308
"M_001_AH","I","2006-07-29",9.3,-20.678125,-68.707308
"M_001_AH","I","2006-07-30",9.39,-20.678125,-68.707308
"M_001_AH","I","2006-08-01",12.8,-20.678125,-68.707308
"M_001_AH","I","2006-08-02",14.8,-20.678125,-68.707308
"M_001_AH","I","2006-08-03",14.64,-20.678125,-68.707308
"M_001_AH","I","2006-08-04",14.81,-20.678125,-68.707308
"M_001_AH","I","2006-08-05",13.75,-20.678125,-68.707308
"M_001_AH","I","2006-08-06",14.34,-20.678125,-68.707308
"M_001_AH","I","2006-08-07",12.19,-20.678125,-68.707308
"M_001_AH","I","2006-08-08",10.68,-20.678125,-68.707308
"M_001_AH","I","2006-08-09",12.82,-20.678125,-68.707308
"M_001_AH","I","2006-08-10",14.39,-20.678125,-68.707308
"M_001_AH","I","2006-08-11",14.19,-20.678125,-68.707308
"M_001_AH","I","2006-08-12",13.16,-20.678125,-68.707308
"M_001_AH","I","2006-08-13",12.5,-20.678125,-68.707308
"M_001_AH","I","2006-08-14",12.79,-20.678125,-68.707308
"M_001_AH","I","2006-08-15",9.18,-20.678125,-68.707308
"M_001_AH","I","2006-08-16",9.32,-20.678125,-68.707308
"M_001_AH","I","2006-08-17",10.45,-20.678125,-68.707308
"M_001_AH","I","2006-08-18",9.22,-20.678125,-68.707308
"M_001_AH","I","2006-08-19",8.84,-20.678125,-68.707308
"M_001_AH","I","2006-08-20",12.33,-20.678125,-68.707308
"M_001_AH","I","2006-08-21",11.93,-20.678125,-68.707308
"M_001_AH","I","2006-08-22",13.08,-20.678125,-68.707308
"M_001_AH","I","2006-08-23",12.65,-20.678125,-68.707308
"M_001_AH","I","2006-08-24",13.14,-20.678125,-68.707308
"M_001_AH","I","2006-08-25",7.79,-20.678125,-68.707308
"M_001_AH","I","2006-08-27",12.54,-20.678125,-68.707308
"M_001_AH","I","2006-08-28",12.22,-20.678125,-68.707308
"M_001_AH","I","2006-08-29",12.98,-20.678125,-68.707308
"M_001_AH","I","2006-08-30",8.84,-20.678125,-68.707308
"M_001_AH","I","2006-09-01",10.14,-20.678125,-68.707308
"M_001_AH","I","2006-09-02",13.04,-20.678125,-68.707308
"M_001_AH","I","2006-09-03",12.38,-20.678125,-68.707308
"M_001_AH","I","2006-09-04",13.67,-20.678125,-68.707308
"M_001_AH","I","2006-09-05",15.33,-20.678125,-68.707308
"M_001_AH","I","2006-09-06",15.45,-20.678125,-68.707308
"M_001_AH","I","2006-09-07",14.01,-20.678125,-68.707308
"M_001_AH","I","2006-09-08",8.21,-20.678125,-68.707308
"M_001_AH","I","2006-09-09",14.58,-20.678125,-68.707308
"M_001_AH","I","2006-09-10",17.4,-20.678125,-68.707308
"M_001_AH","I","2006-09-11",19.93,-20.678125,-68.707308
"M_001_AH","I","2006-09-12",17.49,-20.678125,-68.707308
"M_001_AH","I","2006-09-13",16.88,-20.678125,-68.707308
"M_001_AH","I","2006-09-14",12.94,-20.678125,-68.707308
"M_001_AH","I","2006-09-15",11.81,-20.678125,-68.707308
"M_001_AH","I","2006-09-16",12.02,-20.678125,-68.707308
"M_001_AH","I","2006-09-17",13.22,-20.678125,-68.707308
