"ID_CIDERH","PP_RBE","Anio","Mes","Dia"
"M_030_A_XV",1.0258159786462784,1982,4,22
"M_030_A_XV",1.3326107300817966,1982,4,23
"M_030_A_XV",0.24457548325881362,1982,4,24
"M_030_A_XV",0.2422128519974649,1982,4,25
"M_030_A_XV",1.0679841134697199,1982,4,26
"M_030_A_XV",0.6295958831906319,1982,4,27
"M_030_A_XV",0.012055554892867804,1982,4,28
"M_030_A_XV",1.771762166172266,1982,4,29
"M_030_A_XV",1.4216291224583983,1982,4,30
"M_030_A_XV",0.060277778655290604,1982,5,1
"M_030_A_XV",0.8306756168603897,1982,5,2
"M_030_A_XV",0.21017324225977063,1982,5,3
"M_030_A_XV",0,1982,5,4
"M_030_A_XV",0,1982,5,5
"M_030_A_XV",0.0024573025293648243,1982,5,6
"M_030_A_XV",0,1982,5,7
"M_030_A_XV",0,1982,5,8
"M_030_A_XV",0,1982,5,9
"M_030_A_XV",0,1982,5,10
"M_030_A_XV",0,1982,5,11
"M_030_A_XV",0,1982,5,12
"M_030_A_XV",0,1982,5,13
"M_030_A_XV",0,1982,5,14
"M_030_A_XV",0.07329582422971725,1982,5,15
"M_030_A_XV",0,1982,5,16
"M_030_A_XV",0,1982,5,17
"M_030_A_XV",0,1982,5,18
"M_030_A_XV",0,1982,5,19
"M_030_A_XV",0,1982,5,20
"M_030_A_XV",0,1982,5,21
"M_030_A_XV",0,1982,5,22
"M_030_A_XV",0,1982,5,23
"M_030_A_XV",0,1982,5,24
"M_030_A_XV",0,1982,5,25
"M_030_A_XV",0,1982,5,26
"M_030_A_XV",0,1982,5,27
"M_030_A_XV",0,1982,5,28
"M_030_A_XV",0,1982,5,29
"M_030_A_XV",0,1982,5,30
"M_030_A_XV",0,1982,5,31
"M_030_A_XV",0,1982,6,1
"M_030_A_XV",0,1982,6,2
"M_030_A_XV",0,1982,6,3
"M_030_A_XV",0,1982,6,4
"M_030_A_XV",0,1982,6,5
"M_030_A_XV",0,1982,6,6
"M_030_A_XV",0,1982,6,7
"M_030_A_XV",0,1982,6,8
"M_030_A_XV",0,1982,6,9
"M_030_A_XV",0,1982,6,10
