Technique,File,Spearman,Kendall
Hot_Deck,PP_imputado_Hot_Deck_2.csv,1.0,1.0
Hot_Deck,PP_imputado_Hot_Deck_3.csv,0.7511904995057053,0.778014977471544
Hot_Deck,PP_imputado_Hot_Deck_4.csv,0.7461545287694226,0.7643244952632776
Hot_Deck,PP_imputado_Hot_Deck_5.csv,0.7022819215649375,0.6875458795849659
Hot_Deck,PP_imputado_Hot_Deck_6.csv,0.4651298067950416,0.4889622238189803
Hot_Deck,PP_imputado_Hot_Deck_7.csv,0.396954558134446,0.415081372396145
Hot_Deck,PP_imputado_Hot_Deck_8.csv,0.396954558134446,0.415081372396145
Hot_Deck,PP_imputado_Hot_Deck_9.csv,0.5119811630484049,0.4625192435271331
Hot_Deck,PP_imputado_Hot_Deck_10.csv,0.4460828674417216,0.38920615355161414
Hot_Deck,PP_imputado_Hot_Deck_11.csv,0.39426516061768324,0.3184413983604116
Hot_Deck,PP_imputado_Hot_Deck_12.csv,0.39426516061768324,0.3184413983604116
Hot_Deck,PP_imputado_Hot_Deck_13.csv,0.38074749796793406,0.2948531466300107
Hot_Deck,PP_imputado_Hot_Deck_14.csv,0.2951356345195228,0.22408839143880813
Hot_Deck,PP_imputado_Hot_Deck_15.csv,0.2951356345195228,0.22408839143880813
IDW,PP_imputado_IDW_2.csv,0.953810623556582,0.8987341772151899
IDW,PP_imputado_IDW_3.csv,0.9110182653579829,0.8274127538189437
IDW,PP_imputado_IDW_4.csv,0.8731595549429412,0.7643244952632776
IDW,PP_imputado_IDW_5.csv,0.8382074547710545,0.7357947132400513
IDW,PP_imputado_IDW_6.csv,0.7789795307975212,0.655924934391315
IDW,PP_imputado_IDW_7.csv,0.791653692643128,0.6759896636165791
IDW,PP_imputado_IDW_8.csv,0.7307572547475029,0.581113921354603
IDW,PP_imputado_IDW_9.csv,0.6924150531095166,0.5336760502236151
IDW,PP_imputado_IDW_10.csv,0.5001535180407181,0.38920615355161414
IDW,PP_imputado_IDW_11.csv,0.4843829116160108,0.34202965009081243
IDW,PP_imputado_IDW_12.csv,0.48212996784105266,0.34202965009081243
IDW,PP_imputado_IDW_13.csv,0.4325652047919724,0.3184413983604116
IDW,PP_imputado_IDW_14.csv,0.24106498392052633,0.17691188797800642
IDW,PP_imputado_IDW_15.csv,0.2162826023959862,0.17691188797800642
KNN,PP_imputado_KNN_2.csv,0.995381062355658,0.9746835443037976
KNN,PP_imputado_KNN_3.csv,0.7466239919099259,0.7533160892978443
KNN,PP_imputado_KNN_4.csv,0.7416186349775112,0.74006022557238
KNN,PP_imputado_KNN_5.csv,0.7226707515458551,0.6875458795849659
KNN,PP_imputado_KNN_6.csv,0.48545101194628143,0.4889622238189803
KNN,PP_imputado_KNN_7.csv,0.4172533707663211,0.415081372396145
KNN,PP_imputado_KNN_8.csv,0.33380269661305684,0.36764350126515705
KNN,PP_imputado_KNN_9.csv,0.4488293015270156,0.415081372396145
KNN,PP_imputado_KNN_10.csv,0.3514592288934776,0.3184413983604116
KNN,PP_imputado_KNN_11.csv,0.3041474096193556,0.27126489489960987
KNN,PP_imputado_KNN_12.csv,0.32667684736893754,0.27126489489960987
KNN,PP_imputado_KNN_13.csv,0.2883768031946483,0.22408839143880813
KNN,PP_imputado_KNN_14.csv,0.20276493974623708,0.15332363624760556
KNN,PP_imputado_KNN_15.csv,0.20276493974623708,0.15332363624760556
Razon_Normal,PP_imputado_Razon_Normal_2.csv,0.6951501154734412,0.7215189873417721
Razon_Normal,PP_imputado_Razon_Normal_3.csv,0.7283579615268083,0.7286172011241445
Razon_Normal,PP_imputado_Razon_Normal_4.csv,0.4513214322951826,0.4488889892816076
Razon_Normal,PP_imputado_Razon_Normal_5.csv,0.7226707515458551,0.7116702964125086
Razon_Normal,PP_imputado_Razon_Normal_6.csv,0.7744637074305791,0.655924934391315
Razon_Normal,PP_imputado_Razon_Normal_7.csv,0.6473065805942385,0.6285517924855911
Razon_Normal,PP_imputado_Razon_Normal_8.csv,0.46236184328159907,0.34392456569966307
Razon_Normal,PP_imputado_Razon_Normal_9.csv,0.6585836987230581,0.4625192435271331
Razon_Normal,PP_imputado_Razon_Normal_10.csv,-0.0450588754991638,0.011794125865200428
Razon_Normal,PP_imputado_Razon_Normal_11.csv,0.11490013252286768,0.10614713278680385
Razon_Normal,PP_imputado_Razon_Normal_12.csv,0.25007675902035903,0.20050013970840727
Razon_Normal,PP_imputado_Razon_Normal_13.csv,-0.20727082729615348,-0.1297353845172047
Razon_Normal,PP_imputado_Razon_Normal_14.csv,-0.3221709598190211,-0.247676643169209
Razon_Normal,PP_imputado_Razon_Normal_15.csv,-0.27711208431985734,-0.20050013970840727
WKNNI,PP_imputado_WKNNI_2.csv,0.995381062355658,0.9746835443037976
WKNNI,PP_imputado_WKNNI_3.csv,0.7922890678677194,0.778014977471544
WKNNI,PP_imputado_WKNNI_4.csv,0.786977572896625,0.7643244952632776
WKNNI,PP_imputado_WKNNI_5.csv,0.7430595815267727,0.6875458795849659
WKNNI,PP_imputado_WKNNI_6.csv,0.5057722170975211,0.4889622238189803
WKNNI,PP_imputado_WKNNI_7.csv,0.4375521833981961,0.415081372396145
WKNNI,PP_imputado_WKNNI_8.csv,0.354101509244932,0.36764350126515705
WKNNI,PP_imputado_WKNNI_9.csv,0.4240196416436128,0.39136243683065103
WKNNI,PP_imputado_WKNNI_10.csv,0.3582180602183522,0.3184413983604116
WKNNI,PP_imputado_WKNNI_11.csv,0.31090624094423025,0.27126489489960987
