ID_CIDERH,TEMP_MAX_RBE,Anio,Mes,Dia
M_001_B_II,23.48993835449221,1993,1,1
M_001_B_II,23.655503845214863,1993,1,2
M_001_B_II,22.32620391845705,1993,1,3
M_001_B_II,22.319932556152366,1993,1,4
M_001_B_II,22.28802642822268,1993,1,5
M_001_B_II,22.290368652343773,1993,1,6
M_001_B_II,21.54518280029299,1993,1,7
M_001_B_II,21.04719696044924,1993,1,8
M_001_B_II,20.17822418212893,1993,1,9
M_001_B_II,20.67900238037112,1993,1,10
M_001_B_II,21.066087341308616,1993,1,11
M_001_B_II,19.49921569824221,1993,1,12
M_001_B_II,19.246675109863304,1993,1,13
M_001_B_II,17.93019256591799,1993,1,14
M_001_B_II,19.884973144531276,1993,1,15
M_001_B_II,19.97731170654299,1993,1,16
M_001_B_II,21.606622314453148,1993,1,17
M_001_B_II,21.56414947509768,1993,1,18
M_001_B_II,20.94305572509768,1993,1,19
M_001_B_II,21.220605468750023,1993,1,20
M_001_B_II,22.221299743652366,1993,1,21
M_001_B_II,22.704522705078148,1993,1,22
M_001_B_II,22.738336181640648,1993,1,23
M_001_B_II,22.334146118164085,1993,1,24
M_001_B_II,21.53748474121096,1993,1,25
M_001_B_II,21.847154235839863,1993,1,26
M_001_B_II,21.60651550292971,1993,1,27
M_001_B_II,22.074372863769558,1993,1,28
M_001_B_II,22.70170745849612,1993,1,29
M_001_B_II,22.62404022216799,1993,1,30
M_001_B_II,21.912095642089863,1993,1,31
M_001_B_II,22.13818511962893,1993,2,1
M_001_B_II,22.03955993652346,1993,2,2
M_001_B_II,22.097398376464863,1993,2,3
M_001_B_II,22.263391113281276,1993,2,4
M_001_B_II,21.49731597900393,1993,2,5
M_001_B_II,21.76898345947268,1993,2,6
M_001_B_II,22.4648376464844,1993,2,7
M_001_B_II,22.118020629882835,1993,2,8
M_001_B_II,22.414949035644558,1993,2,9
M_001_B_II,21.827752685546898,1993,2,10
M_001_B_II,21.648889160156276,1993,2,11
M_001_B_II,21.753717041015648,1993,2,12
M_001_B_II,21.872598266601585,1993,2,13
M_001_B_II,22.366571044921898,1993,2,14
M_001_B_II,22.253030395507835,1993,2,15
M_001_B_II,21.843530273437523,1993,2,16
M_001_B_II,21.21431121826174,1993,2,17
M_001_B_II,21.06003723144533,1993,2,18
M_001_B_II,21.20416412353518,1993,2,19
M_001_B_II,20.770967102050804,1993,2,20
M_001_B_II,21.15246734619143,1993,2,21
M_001_B_II,22.112634277343773,1993,2,22
M_001_B_II,22.15406188964846,1993,2,23
M_001_B_II,21.67844543457033,1993,2,24
M_001_B_II,20.943765258789085,1993,2,25
M_001_B_II,20.752557373046898,1993,2,26
M_001_B_II,20.935266113281276,1993,2,27
M_001_B_II,20.241723632812523,1993,2,28
M_001_B_II,20.06492004394533,1993,3,1
M_001_B_II,19.871789550781276,1993,3,2
M_001_B_II,19.41425476074221,1993,3,3
M_001_B_II,20.59466705322268,1993,3,4
M_001_B_II,20.563195800781276,1993,3,5
M_001_B_II,20.53747711181643,1993,3,6
M_001_B_II,20.613061523437523,1993,3,7
M_001_B_II,21.30500946044924,1993,3,8
M_001_B_II,21.41346130371096,1993,3,9
M_001_B_II,21.6418395996094,1993,3,10
M_001_B_II,21.95625457763674,1993,3,11
M_001_B_II,22.375901794433616,1993,3,12
M_001_B_II,22.783311462402366,1993,3,13
M_001_B_II,23.308892822265648,1993,3,14
M_001_B_II,22.631013488769558,1993,3,15
M_001_B_II,22.247476196289085,1993,3,16
M_001_B_II,21.809236145019558,1993,3,17
M_001_B_II,21.29986724853518,1993,3,18
M_001_B_II,21.14833221435549,1993,3,19
M_001_B_II,21.06277618408205,1993,3,20
M_001_B_II,21.07849273681643,1993,3,21
M_001_B_II,21.625657653808616,1993,3,22
M_001_B_II,21.418328857421898,1993,3,23
M_001_B_II,20.994912719726585,1993,3,24
M_001_B_II,20.1911560058594,1993,3,25
M_001_B_II,20.137109375000023,1993,3,26
M_001_B_II,20.169175720214863,1993,3,27
M_001_B_II,19.997300720214863,1993,3,28
M_001_B_II,20.38978729248049,1993,3,29
M_001_B_II,20.920381164550804,1993,3,30
M_001_B_II,21.003999328613304,1993,3,31
M_001_B_II,20.77925262451174,1993,4,1
M_001_B_II,20.4680114746094,1993,4,2
M_001_B_II,20.88769683837893,1993,4,3
M_001_B_II,20.66150054931643,1993,4,4
M_001_B_II,20.282830810546898,1993,4,5
M_001_B_II,19.457788085937523,1993,4,6
M_001_B_II,20.191766357421898,1993,4,7
M_001_B_II,21.19007263183596,1993,4,8
M_001_B_II,20.859918212890648,1993,4,9
M_001_B_II,20.19691619873049,1993,4,10
M_001_B_II,20.282823181152366,1993,4,11
M_001_B_II,20.62428436279299,1993,4,12
M_001_B_II,19.919664001464863,1993,4,13
M_001_B_II,20.25754699707033,1993,4,14
M_001_B_II,20.58197937011721,1993,4,15
M_001_B_II,20.39514312744143,1993,4,16
M_001_B_II,20.022241210937523,1993,4,17
M_001_B_II,19.419404602050804,1993,4,18
M_001_B_II,19.027551269531276,1993,4,19
M_001_B_II,20.46970520019533,1993,4,20
M_001_B_II,20.40553436279299,1993,4,21
M_001_B_II,20.197076416015648,1993,4,22
M_001_B_II,20.523179626464863,1993,4,23
M_001_B_II,20.07521209716799,1993,4,24
M_001_B_II,19.63197479248049,1993,4,25
M_001_B_II,19.869058227539085,1993,4,26
M_001_B_II,19.63539276123049,1993,4,27
M_001_B_II,19.798265075683616,1993,4,28
M_001_B_II,20.77400360107424,1993,4,29
M_001_B_II,20.481538391113304,1993,4,30
M_001_B_II,20.61454925537112,1993,5,1
M_001_B_II,20.711412048339863,1993,5,2
M_001_B_II,20.11821136474612,1993,5,3
M_001_B_II,19.59760437011721,1993,5,4
M_001_B_II,19.591523742675804,1993,5,5
M_001_B_II,18.4628845214844,1993,5,6
M_001_B_II,18.988626098632835,1993,5,7
M_001_B_II,19.55164489746096,1993,5,8
M_001_B_II,20.03633270263674,1993,5,9
M_001_B_II,20.58009490966799,1993,5,10
